,Year,Month,count
0,2010,1,3127
1,2010,2,2698
2,2010,3,3480
3,2010,4,3425
4,2010,5,3697
5,2010,6,3440
6,2010,7,3586
7,2010,8,3695
8,2010,9,3408
9,2010,10,3456
10,2010,11,3149
11,2010,12,2920
12,2011,1,3088
13,2011,2,2533
14,2011,3,3171
15,2011,4,3240
16,2011,5,3420
17,2011,6,3514
18,2011,7,3619
19,2011,8,3534
20,2011,9,3207
21,2011,10,3333
22,2011,11,3085
23,2011,12,3066
24,2012,1,2907
25,2012,2,2726
26,2012,3,3104
27,2012,4,3015
28,2012,5,3320
29,2012,6,3308
30,2012,7,3386
31,2012,8,3300
32,2012,9,3132
33,2012,10,3153
34,2012,11,2914
35,2012,12,2831
36,2013,1,2868
37,2013,2,2417
38,2013,3,2836
39,2013,4,2870
40,2013,5,3084
41,2013,6,3141
42,2013,7,3207
43,2013,8,3196
44,2013,9,2985
45,2013,10,2852
46,2013,11,2651
47,2013,12,2641
48,2014,1,2412
49,2014,2,2140
50,2014,3,2620
51,2014,4,2628
52,2014,5,2843
53,2014,6,2823
54,2014,7,2909
55,2014,8,2924
56,2014,9,2746
57,2014,10,2701
58,2014,11,2445
59,2014,12,2500
60,2015,1,2452
61,2015,2,2036
62,2015,3,2577
63,2015,4,2579
64,2015,5,2664
65,2015,6,2648
66,2015,7,2765
67,2015,8,2757
68,2015,9,2604
69,2015,10,2583
70,2015,11,2426
71,2015,12,2457
72,2016,1,2480
73,2016,2,2310
74,2016,3,2585
75,2016,4,2536
76,2016,5,2728
77,2016,6,2751
78,2016,7,2842
79,2016,8,2816
80,2016,9,2684
81,2016,10,2705
82,2016,11,2567
83,2016,12,2457
84,2017,1,2565
85,2017,2,2252
86,2017,3,2497
87,2017,4,2445
88,2017,5,2631
89,2017,6,2694
90,2017,7,2697
91,2017,8,2847
92,2017,9,2637
93,2017,10,2583
94,2017,11,2515
95,2017,12,2445
96,2018,1,2535
97,2018,2,2148
98,2018,3,2494
99,2018,4,2460
100,2018,5,2811
101,2018,6,2721
102,2018,7,2822
103,2018,8,2844
104,2018,9,2588
105,2018,10,2615
106,2018,11,2372
107,2018,12,2500
108,2019,1,2357
109,2019,2,2167
110,2019,3,2462
111,2019,4,2446
112,2019,5,2741
113,2019,6,2666
114,2019,7,2855
115,2019,8,2803
116,2019,9,2615
117,2019,10,2597
118,2019,11,2409
119,2019,12,2440
120,2020,1,2392
121,2020,2,2139
122,2020,3,2089
123,2020,4,1757
124,2020,5,2191
125,2020,6,2127
126,2020,7,2327
127,2020,8,2395
128,2020,9,2200
129,2020,10,2219
130,2020,11,2031
131,2020,12,2090
132,2021,1,2064
133,2021,2,1730
134,2021,3,1979
135,2021,4,2036
136,2021,5,2172
137,2021,6,2207
138,2021,7,2344
139,2021,8,2202
140,2021,9,2305
141,2021,10,2339
142,2021,11,2119
143,2021,12,2035
144,2022,1,2043
145,2022,2,1969
146,2022,3,2258
147,2022,4,2190
148,2022,5,2361
149,2022,6,2467
150,2022,7,2601
151,2022,8,2537
152,2022,9,2482
153,2022,10,2677
154,2022,11,2435
155,2022,12,2442
156,2023,1,2454
157,2023,2,2164
158,2023,3,2474
159,2023,4,2434
160,2023,5,2560
161,2023,6,2619
162,2023,7,2723
163,2023,8,2754
164,2023,9,2653
165,2023,10,2654
166,2023,11,2489
167,2023,12,2434
168,2024,1,2303
169,2024,2,2326
170,2024,3,2473
171,2024,4,2481
172,2024,5,2542
173,2024,6,2608
174,2024,7,2743
175,2024,8,2703
176,2024,9,2687
177,2024,10,2593
178,2024,11,2384
179,2024,12,2368
180,2025,1,2280
181,2025,2,2040
182,2025,3,2425
183,2025,4,2339
184,2025,5,2467
185,2025,6,2533
186,2025,7,2636
187,2025,8,2446
188,2025,9,2340
189,2025,10,1209
