,PC1,PC2,PC3,Total_Importance
IsWeekend,0.006427544222776429,0.4326244888942679,0.5540506544012643,0.9931026875183087
Weekday,0.006636582391820164,0.42329616448041624,0.5617627669944638,0.9916955138667003
TimeLabel,0.004215935449349436,0.44047916197277537,0.2839243725611352,0.72861946998326
Hour,0.005928670057285807,0.4193223501519427,0.2818847602696306,0.7071357804788592
CrimeLabel,0.06369647893535996,0.33914297242668856,0.3041432526271953,0.7069827039892438
Severity,0.0830271766188906,0.34537717870060913,0.27735581991992464,0.7057601752394244
LonBin,0.4796809473799686,0.0695883751318541,0.10186274718045613,0.6511320696922789
LonNorm,0.4822792704931499,0.06690661663556183,0.09864224108504012,0.6478281282137519
LatBin,0.508455878911201,0.008873376730916819,0.03062518535199992,0.5479544409941177
LatNorm,0.5074951315273996,0.009400400485322875,0.03020630801104757,0.54710184002377
GeoCluster,0.10067022553817405,0.07498913042112515,0.13031430432162752,0.30597366028092676
LocationLabel,0.0016760417238490559,0.11984801884916141,0.09420038133453904,0.2157244419075495
Month,0.0022936935448290723,0.0034237874073869148,0.009469951354372626,0.015187432306588613
Day,0.001587834409904603,0.0033935531561927086,0.005478993380802728,0.01046038094690004
SeasonLabel,0.0002910307732530882,0.0019064335104359762,0.0041432469387864745,0.006340711222475539
