ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month,Day,Weekday,Hour,Minute,Season
12551682,JE458206,2021-11-22 11:37:00,010XX E 47TH ST,0810,THEFT,OVER $500,APARTMENT,False,False,222,2.0,4.0,39.0,06,1183977.0,1874059.0,2021,11/30/2021 03:39:33 PM,41.809597452,-87.60071921,"(41.809597452, -87.60071921)",11,22,0,11,37,Fall
7486757,HS290067,2010-05-03 22:00:00,008XX S MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,132,1.0,2.0,32.0,07,1177402.0,1896459.0,2010,02/10/2018 03:50:01 PM,41.871215993,-87.62415663,"(41.871215993, -87.62415663)",5,3,0,22,0,Spring
8809153,HV482429,2012-09-19 12:20:00,071XX S WENTWORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,731,7.0,6.0,69.0,18,1176194.0,1857721.0,2012,02/10/2018 03:50:01 PM,41.764942817,-87.629756116,"(41.764942817, -87.629756116)",9,19,2,12,20,Fall
13759750,JJ162771,2025-02-25 18:00:00,069XX W MELROSE ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1632,16.0,36.0,17.0,06,1129228.0,1920807.0,2025,05/17/2025 03:40:52 PM,41.938986168,-87.800468351,"(41.938986168, -87.800468351)",2,25,1,18,0,Winter
8746833,HV422130,2012-08-08 23:33:00,0000X E ROOSEVELT RD,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,PARK PROPERTY,False,False,123,1.0,2.0,32.0,04B,1177153.0,1895082.0,2012,02/10/2018 03:50:01 PM,41.867443062,-87.6251125,"(41.867443062, -87.6251125)",8,8,2,23,33,Summer
9112127,HW256947,2013-05-02 10:00:00,019XX W ERIE ST,0880,THEFT,PURSE-SNATCHING,RESIDENTIAL YARD (FRONT/BACK),False,False,1221,12.0,1.0,24.0,06,1163454.0,1904360.0,2013,02/10/2018 03:50:01 PM,41.893201796,-87.675142234,"(41.893201796, -87.675142234)",5,2,3,10,0,Spring
8739828,HV415451,2012-08-04 14:38:00,076XX S COLES AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,421,4.0,7.0,43.0,04A,1196486.0,1854950.0,2012,02/04/2016 06:33:39 AM,41.756859457,-87.555473236,"(41.756859457, -87.555473236)",8,4,5,14,38,Summer
7347212,HS147743,2010-01-24 09:00:00,060XX N MAPLEWOOD AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,False,False,2413,24.0,50.0,2.0,11,1158231.0,1940088.0,2010,02/10/2018 03:50:01 PM,41.991350083,-87.693344739,"(41.991350083, -87.693344739)",1,24,6,9,0,Winter
7760820,HS568498,2010-10-17 04:55:00,026XX S LAWNDALE AVE,0620,BURGLARY,UNLAWFUL ENTRY,"SCHOOL, PUBLIC, BUILDING",False,False,1031,10.0,22.0,30.0,05,1152130.0,1886238.0,2010,02/04/2016 06:33:39 AM,41.843703836,-87.717208988,"(41.843703836, -87.717208988)",10,17,6,4,55,Fall
8485961,HV162660,2012-02-17 22:30:00,053XX W MADISON ST,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,True,False,1522,15.0,28.0,25.0,26,1140937.0,1899509.0,2012,02/10/2018 03:50:01 PM,41.880334264,-87.757959152,"(41.880334264, -87.757959152)",2,17,4,22,30,Winter
