Community Area,counts
25.0,29767
8.0,19264
43.0,17165
28.0,16350
29.0,15272
23.0,15044
32.0,14737
24.0,14252
71.0,14141
69.0,13027
49.0,12884
67.0,12733
68.0,11801
44.0,11693
66.0,11670
6.0,11208
26.0,9813
22.0,9713
19.0,9113
61.0,9070
27.0,9023
46.0,8958
30.0,8477
53.0,7882
7.0,7750
1.0,7606
42.0,7383
3.0,7331
2.0,6691
38.0,6485
15.0,6301
73.0,6046
16.0,5570
77.0,5172
40.0,5118
31.0,5033
35.0,4800
14.0,4634
63.0,4540
58.0,4530
70.0,4450
21.0,4446
75.0,3903
56.0,3889
51.0,3679
4.0,3659
65.0,3642
33.0,3632
41.0,3536
76.0,3208
60.0,3114
17.0,3100
39.0,3078
20.0,3025
48.0,2801
5.0,2706
45.0,2633
52.0,2415
54.0,2411
10.0,2340
34.0,2176
50.0,2120
11.0,2072
62.0,2014
64.0,1949
59.0,1935
57.0,1838
13.0,1793
72.0,1733
37.0,1547
36.0,1376
55.0,1247
18.0,1187
74.0,1070
12.0,992
47.0,723
9.0,514
