TSNE1,TSNE2,Hour,Arrest,Time_Period
80.92803,-23.95217,22,False,Night (6PM-6AM)
-3.5543146,-16.519825,8,False,Day (6AM-6PM)
-12.432082,-81.21129,12,True,Day (6AM-6PM)
-10.535704,33.007683,5,False,Night (6PM-6AM)
-75.6364,-27.19297,19,False,Night (6PM-6AM)
81.71089,14.860675,0,False,Night (6PM-6AM)
-2.2852147,82.79679,19,False,Night (6PM-6AM)
12.421808,-9.294108,6,False,Day (6AM-6PM)
3.2586339,12.869479,0,False,Night (6PM-6AM)
27.796824,76.0503,15,False,Day (6AM-6PM)
-38.95724,55.439743,16,False,Day (6AM-6PM)
-24.61505,-9.831689,10,True,Day (6AM-6PM)
75.85795,7.7371206,10,False,Day (6AM-6PM)
-20.996191,7.0051966,0,False,Night (6PM-6AM)
-11.613579,40.74237,3,True,Night (6PM-6AM)
-51.81287,-27.314573,13,False,Day (6AM-6PM)
-15.24517,73.38755,23,True,Night (6PM-6AM)
46.93564,52.44366,8,False,Day (6AM-6PM)
-71.84967,21.638796,0,False,Night (6PM-6AM)
-11.879397,-71.44989,18,False,Night (6PM-6AM)
42.34877,-2.184153,7,False,Day (6AM-6PM)
-37.29955,66.919846,19,False,Night (6PM-6AM)
-30.06306,-54.241543,12,True,Day (6AM-6PM)
-42.149754,-26.19037,14,False,Day (6AM-6PM)
32.92388,8.890967,9,True,Day (6AM-6PM)
37.71564,41.337036,3,False,Night (6PM-6AM)
-2.84911,-88.40277,19,False,Night (6PM-6AM)
69.188354,-16.346762,20,False,Night (6PM-6AM)
21.698626,-29.984753,13,False,Day (6AM-6PM)
-72.87226,-24.696714,17,True,Day (6AM-6PM)
-73.69367,-5.2358,6,False,Day (6AM-6PM)
-22.140238,-59.239605,14,True,Day (6AM-6PM)
-16.664776,37.786297,11,False,Day (6AM-6PM)
-2.485217,40.851643,4,False,Night (6PM-6AM)
31.785429,48.486366,2,True,Night (6PM-6AM)
1.3560052,-32.135365,16,False,Day (6AM-6PM)
7.3275003,43.784782,0,False,Night (6PM-6AM)
-20.387236,89.86437,14,False,Day (6AM-6PM)
-1.3601476,-34.857338,19,False,Night (6PM-6AM)
39.195087,45.769787,0,False,Night (6PM-6AM)
-53.061646,-7.8317223,22,False,Night (6PM-6AM)
-53.872368,-9.218789,22,False,Night (6PM-6AM)
2.9659932,-22.278889,0,False,Night (6PM-6AM)
30.925608,-21.445843,12,False,Day (6AM-6PM)
32.512196,-66.79508,19,False,Night (6PM-6AM)
21.029629,72.00925,13,True,Day (6AM-6PM)
8.96035,-37.414524,20,True,Night (6PM-6AM)
8.49304,-51.016243,18,False,Night (6PM-6AM)
-26.730745,-81.134285,18,False,Night (6PM-6AM)
-34.128273,41.008556,10,False,Day (6AM-6PM)
9.971546,-35.536793,15,True,Day (6AM-6PM)
23.540184,-29.547213,18,False,Night (6PM-6AM)
-28.566679,49.507385,6,False,Day (6AM-6PM)
32.73148,1.7108907,11,False,Day (6AM-6PM)
-70.26123,9.142316,1,False,Night (6PM-6AM)
-27.621996,69.0257,17,False,Day (6AM-6PM)
-6.599892,3.630949,0,False,Night (6PM-6AM)
-1.4906642,-32.11749,12,False,Day (6AM-6PM)
-9.082904,13.245854,8,False,Day (6AM-6PM)
-2.5285497,54.85906,9,False,Day (6AM-6PM)
5.0575666,79.57686,22,False,Night (6PM-6AM)
-46.65312,58.901257,16,False,Day (6AM-6PM)
-68.01017,-33.897804,16,False,Day (6AM-6PM)
78.43031,-12.9627285,17,False,Day (6AM-6PM)
27.188793,-28.495028,15,False,Day (6AM-6PM)
27.931583,66.27014,15,False,Day (6AM-6PM)
71.67561,-28.116821,21,False,Night (6PM-6AM)
4.914869,-22.416897,10,False,Day (6AM-6PM)
-52.40056,-25.829712,15,True,Day (6AM-6PM)
72.458305,-30.544613,22,False,Night (6PM-6AM)
-14.158489,81.84524,15,True,Day (6AM-6PM)
7.3344493,-50.398235,20,False,Night (6PM-6AM)
12.828835,38.220848,4,False,Night (6PM-6AM)
-2.3984988,34.51773,4,True,Night (6PM-6AM)
-14.59613,-49.84311,13,False,Day (6AM-6PM)
28.218554,-64.88284,19,False,Night (6PM-6AM)
55.67964,19.442562,1,False,Night (6PM-6AM)
0.76400495,78.092865,21,False,Night (6PM-6AM)
0.04143548,-78.48159,17,False,Day (6AM-6PM)
-7.483346,49.881428,4,False,Night (6PM-6AM)
-1.6775594,2.0528696,11,True,Day (6AM-6PM)
0.8944519,-68.034225,17,False,Day (6AM-6PM)
29.650412,-21.725117,14,False,Day (6AM-6PM)
-20.017391,70.143524,13,False,Day (6AM-6PM)
-65.38315,-36.14276,18,False,Night (6PM-6AM)
-52.961296,-47.740112,22,True,Night (6PM-6AM)
1.7551634,13.388017,7,True,Day (6AM-6PM)
58.289932,-25.668945,23,False,Night (6PM-6AM)
67.549835,-18.46827,13,True,Day (6AM-6PM)
6.953687,-71.597435,23,False,Night (6PM-6AM)
-22.201797,88.792046,15,False,Day (6AM-6PM)
63.56503,-35.75391,22,False,Night (6PM-6AM)
63.971714,18.243511,8,False,Day (6AM-6PM)
23.405842,82.15913,22,True,Night (6PM-6AM)
10.27981,-2.669119,0,False,Night (6PM-6AM)
-0.88851815,-36.430305,20,False,Night (6PM-6AM)
11.79342,38.889133,1,False,Night (6PM-6AM)
-73.86431,-4.95574,7,False,Day (6AM-6PM)
3.041404,-77.30872,12,False,Day (6AM-6PM)
5.96119,-40.73203,21,False,Night (6PM-6AM)
-50.684177,-1.0164329,23,False,Night (6PM-6AM)
22.428698,67.28671,19,True,Night (6PM-6AM)
54.92821,4.000111,1,False,Night (6PM-6AM)
18.158602,-50.300285,19,False,Night (6PM-6AM)
28.794827,79.822205,16,False,Day (6AM-6PM)
25.935219,-54.056816,13,False,Day (6AM-6PM)
9.970089,-55.478905,11,False,Day (6AM-6PM)
-27.453989,47.59505,8,True,Day (6AM-6PM)
20.15275,2.6781867,11,False,Day (6AM-6PM)
-33.185192,-60.75265,22,True,Night (6PM-6AM)
-72.028305,-22.829128,17,False,Day (6AM-6PM)
21.235794,70.20984,13,False,Day (6AM-6PM)
41.76846,38.09947,7,True,Day (6AM-6PM)
78.61537,-25.617016,17,False,Day (6AM-6PM)
-6.0267744,62.185223,12,False,Day (6AM-6PM)
-30.462679,64.402596,19,False,Night (6PM-6AM)
46.67967,-18.333977,23,False,Night (6PM-6AM)
-0.14053118,-3.1976163,1,False,Night (6PM-6AM)
65.219215,20.871803,7,False,Day (6AM-6PM)
32.864502,79.18423,19,True,Night (6PM-6AM)
-50.96592,10.00781,0,False,Night (6PM-6AM)
-42.892796,-49.015034,15,False,Day (6AM-6PM)
-65.36155,-25.284191,23,False,Night (6PM-6AM)
-75.95626,20.706207,9,False,Day (6AM-6PM)
81.44192,-21.666409,17,True,Day (6AM-6PM)
12.313708,51.417446,6,False,Day (6AM-6PM)
69.28087,24.925106,0,False,Night (6PM-6AM)
32.27123,60.11105,23,False,Night (6PM-6AM)
33.715958,-29.39229,21,False,Night (6PM-6AM)
33.499027,76.894585,19,False,Night (6PM-6AM)
-31.329063,-70.688095,13,False,Day (6AM-6PM)
-8.21897,68.22866,17,True,Day (6AM-6PM)
-29.696507,72.345375,19,False,Night (6PM-6AM)
-0.18641327,19.706747,10,False,Day (6AM-6PM)
-32.015537,40.625748,8,False,Day (6AM-6PM)
-1.9293387,47.05618,11,False,Day (6AM-6PM)
-20.043926,37.662453,3,False,Night (6PM-6AM)
72.201996,15.6137495,3,False,Night (6PM-6AM)
-34.938316,-60.94835,18,False,Night (6PM-6AM)
48.183083,8.763111,7,False,Day (6AM-6PM)
70.34241,-22.16286,12,False,Day (6AM-6PM)
-2.4352996,80.36314,23,True,Night (6PM-6AM)
-17.222298,-50.80272,13,False,Day (6AM-6PM)
4.541065,-85.00061,15,False,Day (6AM-6PM)
-0.08296903,3.5414715,5,False,Night (6PM-6AM)
6.799638,-72.93939,20,False,Night (6PM-6AM)
-50.616425,-36.074207,13,True,Day (6AM-6PM)
5.9494367,-13.374833,10,False,Day (6AM-6PM)
-32.13499,58.9736,15,False,Day (6AM-6PM)
-5.993703,-74.610374,22,True,Night (6PM-6AM)
-65.03443,18.278543,4,False,Night (6PM-6AM)
-8.91085,-88.46551,12,False,Day (6AM-6PM)
26.925127,8.681942,10,True,Day (6AM-6PM)
28.095518,-70.01907,12,False,Day (6AM-6PM)
-3.9403439,-35.643215,23,True,Night (6PM-6AM)
-30.589525,-45.018467,12,False,Day (6AM-6PM)
43.3092,-13.81381,18,True,Night (6PM-6AM)
0.20968944,35.33515,4,False,Night (6PM-6AM)
23.198084,57.706112,16,False,Day (6AM-6PM)
9.974638,-60.42644,15,False,Day (6AM-6PM)
-54.115818,-10.776636,20,False,Night (6PM-6AM)
10.820699,-34.34617,18,False,Night (6PM-6AM)
-49.448757,3.8883345,11,False,Day (6AM-6PM)
67.12643,-30.241953,12,True,Day (6AM-6PM)
-44.513954,18.151556,8,False,Day (6AM-6PM)
21.892773,79.16407,14,True,Day (6AM-6PM)
-3.1766584,35.674248,6,False,Day (6AM-6PM)
42.88864,-16.259153,13,True,Day (6AM-6PM)
9.35996,-52.532455,12,False,Day (6AM-6PM)
43.596138,-0.7246159,7,False,Day (6AM-6PM)
27.83846,74.23238,21,False,Night (6PM-6AM)
-32.10128,-44.07203,22,False,Night (6PM-6AM)
78.2714,18.35293,10,False,Day (6AM-6PM)
-18.109457,59.205147,20,False,Night (6PM-6AM)
-59.385525,-39.624737,14,True,Day (6AM-6PM)
-22.664045,-55.67866,17,False,Day (6AM-6PM)
-25.203758,34.93747,1,False,Night (6PM-6AM)
-2.692927,79.82265,20,False,Night (6PM-6AM)
27.725075,82.931694,14,False,Day (6AM-6PM)
-15.721534,39.187817,8,False,Day (6AM-6PM)
-23.163332,-59.48102,16,True,Day (6AM-6PM)
33.13444,-22.126862,15,False,Day (6AM-6PM)
